column,type
nflverse_game_id,object
old_game_id,int64
play_id,int64
possession_team,object
offense_formation,object
offense_personnel,object
defenders_in_box,float64
defense_personnel,object
number_of_pass_rushers,float64
players_on_play,object
offense_players,object
defense_players,object
n_offense,int64
n_defense,int64
