column,type
season,int64
player,object
pfr_id,object
tm,object
age,int64
pos,object
g,int64
gs,int64
att,int64
yds,int64
td,int64
x1d,float64
ybc,int64
ybc_att,float64
yac,int64
yac_att,float64
brk_tkl,int64
att_br,float64
loaded,object
